#chr	gene_cis_start	gene_cis_end	gene_id	TSS	end.x	gene_name	TADB_start	TADB_end	TADB_index	TADB_id
chr1	0	6480000	ENSG00000131591	1116360	1116361	C1orf159	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6992473	ENSG00000131697	5992472	5992473	NPHP4	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000142606	2633015	2633016	MMEL1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000142609	2003836	2003837	CFAP74	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000142611	3069167	3069168	PRDM16	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000149527	2425979	2425980	PLCH2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000157870	2586490	2586491	PRXL2B	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000157873	2555638	2555639	TNFRSF14	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000157881	2526595	2526596	PANK4	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000157911	2413796	2413797	PEX10	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000157916	2391774	2391775	RER1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000157933	2228318	2228319	SKI	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000158109	3625014	3625015	TPRG1L	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000158286	6206118	6206119	RNF207	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000158292	6261097	6261098	GPR153	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000160072	1471764	1471765	ATAD3B	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000160075	1574862	1574863	SSU72	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000160087	1273863	1273864	UBE2J2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000162571	1173879	1173880	TTLL10	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000162572	1280435	1280436	SCNN1D	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000162576	1361776	1361777	MXRA8	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000162585	2212719	2212720	FAAP20	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000162591	3611507	3611508	MEGF6	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000162592	3752444	3752445	CCDC27	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000169598	3857266	3857267	DFFB	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000169717	3021466	3021467	ACTRT2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000169885	1915107	1915108	CALML6	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000169962	1331279	1331280	TAS1R3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000169972	1308596	1308597	PUSL1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000171680	6520073	6520074	PLEKHG5	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000173673	6244178	6244179	HES3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000175756	1375494	1375495	AURKAIP1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000176022	1232236	1232237	B3GALT6	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000177133	3068436	3068437	PRDM16-DT	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000177757	817370	817371	FAM87B	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000178821	1919278	1919279	TMEM52	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000179403	1434860	1434861	VWA1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000182873	2184388	2184389	PRKCZ-AS1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000184163	1246721	1246722	C1QTNF12	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000186092	65418	65419	OR4F5	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000186827	1214152	1214153	TNFRSF4	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000186891	1206591	1206592	TNFRSF18	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000187017	6424775	6424776	ESPN	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000187583	966481	966482	PLEKHN1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000187608	1001137	1001138	ISG15	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000187634	923922	923923	SAMD11	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000187642	982092	982093	PERM1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000187730	2019328	2019329	GABRD	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000187961	960583	960584	KLHL17	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000188157	1020119	1020120	AGRN	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000188290	1000171	1000172	HES4	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000188976	959308	959309	NOC2L	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000189339	1692794	1692795	SLC35E2B	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000189409	1632162	1632163	MMP23B	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000196581	4654608	4654609	AJAP1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000197530	1615414	1615415	MIB2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000197785	1512161	1512162	ATAD3A	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000197921	2530262	2530263	HES5	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000198744	634375	634376	MTCO3P12	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000198912	3900277	3900278	C1orf174	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000198976	1169004	1169005	MIR429	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000205090	1540623	1540624	TMEM240	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000205116	1426127	1426128	TMEM88B	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000205231	1179554	1179555	TTLL10-AS1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000207607	1167862	1167863	MIR200A	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000207730	1167103	1167104	MIR200B	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000207776	3560789	3560790	MIR551A	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000215014	1574101	1574102	AL645728.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000215788	6466174	6466175	TNFRSF25	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000215790	1745991	1745992	SLC35E2A	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000215912	2801716	2801717	TTC34	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000215914	1699941	1699942	MMP23A	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000215915	1449688	1449689	ATAD3C	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000217801	1059707	1059708	AL390719.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000221978	1399334	1399335	CCNL2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000222623	157886	157887	RNU6-1100P	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000223181	758335	758336	RNU6-1199P	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000223663	1378665	1378666	NDUFB4P8	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000223764	919691	919692	LINC02593	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000223823	1137016	1137017	LINC01342	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000223972	11868	11869	DDX11L1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000224051	1324755	1324756	CPTP	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000224387	2493257	2493258	AL139246.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000224870	1399519	1399520	MRPL20-AS1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000224969	1013192	1013193	AL645608.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000225077	6234691	6234692	LINC00337	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000225285	1434572	1434573	LINC01770	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000225630	629639	629640	MTND2P28	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000225880	827521	827522	LINC00115	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000225905	1420244	1420245	AL391244.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000225931	2566409	2566410	AL139246.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000225972	629061	629062	MTND1P23	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000226286	3133708	3133709	AL008733.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000226374	3949023	3949024	LINC01345	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000226944	6205779	6205780	RNF207-AS1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000226969	2050069	2050070	AL391845.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000227169	4552144	4552145	Z98747.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000227232	29569	29570	WASH7P	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000227372	3747372	3747373	TP73-AS1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000227589	3668771	3668772	TP73-AS3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000227775	1724511	1724512	AL031282.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000228037	2581559	2581560	AL139246.3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000228327	778625	778626	AL669831.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000228463	359680	359681	AP006222.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000228594	1600134	1600135	FNDC10	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000228794	825137	825138	LINC01128	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000229280	4175898	4175899	EEF1DP6	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000229344	632756	632757	MTCO2P12	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000229376	722091	722092	CICP3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000229393	2494478	2494479	AL139246.4	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000229905	760910	760911	AL669831.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000230021	827795	827796	AL669831.3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000230092	817711	817712	AL669831.4	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000230368	876902	876903	FAM41C	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000230415	1275222	1275223	LINC01786	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000230699	911434	911435	AL645608.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000231050	1891470	1891471	AL109917.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000231510	5090898	5090899	LINC02782	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000231630	2814997	2814998	AL592464.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000231702	1008228	1008229	AL645608.3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000231868	6447005	6447006	AL031848.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000232596	4571480	4571481	LINC01646	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000233234	2812691	2812692	AL592464.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000233304	3940485	3940486	LINC01346	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000233542	2015638	2015639	AL391845.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000233653	487100	487101	CICP7	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000233750	131024	131025	CICP27	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000234396	2212522	2212523	AL590822.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000234711	873291	873292	TUBB8P11	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000235054	4412026	4412027	LINC01777	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000235098	1421768	1421769	ANKRD65	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000235131	3714297	3714298	TP73-AS2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000235146	587628	587629	AC114498.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000235169	3772748	3772749	SMIM1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000236423	3900351	3900352	LINC01134	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000236601	358856	358857	AL732372.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000236679	348365	348366	RPL23AP24	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6668295	ENSG00000236948	5668294	5668295	AL365255.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000237058	2632567	2632568	MMEL1-AS1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000237094	522927	522928	AL732372.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000237330	1074305	1074306	RNF223	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000237491	778746	778747	LINC01409	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000237613	36080	36081	FAM138A	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000237973	631073	631074	MTCO1P12	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000238009	133722	133723	AL627309.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000238164	2557030	2557031	TNFRSF14-AS1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000238260	3624742	3624743	AL513320.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000239906	140338	140339	AL627309.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000239945	91104	91105	AL627309.3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000240361	57597	57598	OR4G11P	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000240409	633534	633535	MTATP8P1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000240731	1318688	1318689	AL139287.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000241180	914170	914171	AL645608.4	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000241599	160445	160446	AL627309.4	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000241860	173861	173862	AL627309.5	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000242485	1407292	1407293	MRPL20	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000242590	1055032	1055033	AL645608.5	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000243485	29553	29554	MIR1302-2HG	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000248333	1659011	1659012	CDK11B	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000248527	633695	633696	MTATP6P1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000250575	493240	493241	AL732372.3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000260179	1251333	1251334	AL162741.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6494674	ENSG00000260972	5492977	5492978	Z98259.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6862741	ENSG00000264101	5862740	5862741	MIR4689	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000264293	1405751	1405752	RN7SL657P	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6564143	ENSG00000264341	5564070	5564071	Z97988.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000265392	6429895	6429896	MIR4252	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000266075	3782814	3782815	RN7SL574P	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000268020	52472	52473	OR4G4P	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000268575	1737687	1737688	AL031282.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000268663	674841	674842	WBP1LP6	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000268903	135894	135895	AL627309.6	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000269732	439869	439870	WBP1LP7	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000269737	1671989	1671990	AL691432.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000269896	2352819	2352820	AL513477.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000269981	137964	137965	AL627309.7	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000271746	6393554	6393555	AL031848.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000271806	2145278	2145279	AL590822.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000272004	1659324	1659325	FO704657.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000272088	3487245	3487246	AL512413.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000272106	1615794	1615795	AL691432.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000272141	1169356	1169357	AL390719.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000272153	3785007	3785008	AL365330.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000272161	2326692	2326693	AL589739.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000272235	3310095	3310096	AL590438.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000272420	2363627	2363628	AL513477.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000272438	904833	904834	AL645608.6	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000272449	2530063	2530064	AL139246.5	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000272455	1409095	1409096	MRPL20-DT	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000272512	998050	998051	AL645608.7	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000273443	1063287	1063288	AL645608.8	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000273874	187957	187958	MIR6859-2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000274481	1583908	1583909	AL691432.3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000276189	3736942	3736943	AL136528.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000278073	1296169	1296170	MIR6726	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000278267	17435	17436	MIR6859-1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000278757	516478	516479	U6	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000278791	632412	632413	AC114498.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000279457	195410	195411	WASH9P	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000279839	3205987	3205988	AL512383.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000279928	182695	182696	DDX11L17	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000283040	877233	877234	AL669831.5	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000283259	2773602	2773603	AC242022.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6554881	ENSG00000283356	5554746	5554747	Z97988.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000283572	3127974	3127975	MIR4251	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000283712	1312565	1312566	MIR6727	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000284332	30365	30366	MIR1302-2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000284372	1339707	1339708	MIR6808	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000284616	5307393	5307394	AL139823.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000284662	686672	686673	OR4F16	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6482028	ENSG00000284666	5482027	5482028	Z98259.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000284668	3976132	3976133	LINC02780	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000284674	4973380	4973381	LINC02781	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6493057	ENSG00000284692	5493056	5493057	Z98259.3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000284694	4484374	4484375	AL355602.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000284703	4019507	4019508	AL805961.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000284733	451677	451678	OR4F29	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000284739	4973297	4973298	BX005132.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000284740	1503249	1503250	AL645728.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000284745	2968706	2968707	AL589702.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000285268	781936	781937	AL669831.6	0	7520074	TADB_1	chr1_0_7520074
chr1	0	7960000	ENSG00000285629	6197756	6197757	AL031847.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000285812	1097584	1097585	AL390719.3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000285945	2768090	2768091	AC242022.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000286448	266854	266855	AP006222.2	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000286518	3373927	3373928	AL354743.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000286989	1600313	1600314	AL691432.4	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000287356	2315039	2315040	AL590822.3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000287396	2814055	2814056	AL592464.3	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000287586	4734991	4734992	Z98886.1	0	7520074	TADB_1	chr1_0_7520074
chr1	0	6480000	ENSG00000287828	3323148	3323149	AL354743.2	0	7520074	TADB_1	chr1_0_7520074
